gcdm_customer_id,country,optin_channel,data_date
0017A47705F21ED6B0A5A5BDF536094F,AU,Y,2021-01-15
B6FD162E60C91EE68CC85D03DC90E276,AU,N,2021-01-15
005056B864471EDA929F1E9D8295F80B,AU,Y,2021-01-15
B6FD162E60C91EE68CC22582D90E2276,AU,Y,2021-01-15
005056B85CC51EDAB1A27DFF362544CD,AU,Y,2021-01-15
B6FD162E60C91EE68CF1DFF780654276,AU,Y,2021-01-15
005056B8A9EA1EEAB188B7049CE3B12F,AU,,2021-01-15
B6FD162E60C91EE68CEAF6433A54A276,AU,N,2021-01-15
B6FD162E60C91EE68CC317ACFA0DC276,AU,,2021-01-15
B6FD162E60C91EE68CA18CC1BFD0C276,AU,Y,2021-01-15
B6FD162E60C91EE68CC125EE55910276,AU,Y,2021-01-15
0017A47705F21EE68CB9AA02C8EFBF31,AU,,2021-01-15
B6FD162E60C91EE68CE24EE714E46276,AU,Y,2021-01-15
0017A47705F21EE68DEFE69983081F31,AU,,2021-01-15
B6FD162E60C91EE68CCF3BDD49160276,AU,Y,2021-01-15
B6FD162E60C91EE68DDB891FD9586276,AU,Y,2021-01-15
B6FD162E60C91EE68DDC9F538514C276,AU,Y,2021-01-15
0017A47705F21EE68BD5CA10884D5F31,AU,Y,2021-01-15
005056B85CC51EE8BCE58E2B23A4BF51,AU,Y,2021-01-15
B6FD162E60C91EE68CCF6659BC0FE276,AU,,2021-01-15
0017A47705F21EE699EB838FE9AF5F31,AU,,2021-01-15
0017A47705F21EE68D839AEE76BADF31,AU,Y,2021-01-15
005056B829D81EE8B2945D3B61A6BA0C,AU,,2021-01-15
B6FD162E60C91EE68E8F9F88FA834276,AU,Y,2021-01-15
B6FD162E60C91EE68DD92B0094C9C276,AU,Y,2021-01-15
005056B85CC51ED9B0B81FAAACA8BF6D,AU,Y,2021-01-15
005056B829D81EE9BF83976B30D427F3,AU,,2021-01-15
005056B8A9EA1EDAB7C712AB19E88BFE,AU,Y,2021-01-15
005056B8A9EA1EDA92B7FDD660411125,AU,N,2021-01-15
005056B8A9EA1EE8B58DE350C88F4B55,AU,,2021-01-15
0017A47705F21EE68DF38FF9FE611F31,AU,N,2021-01-15
0017A47705F21ED6B0812D94C8C7A94F,AU,Y,2021-01-15
B6FD162E60C91EE68E8D64D3312C4276,AU,N,2021-01-15
005056B8A9EA1EE8AC891266CFF7F675,AU,N,2021-01-15
005056B85CC51EDA99A794861B2487A6,AU,Y,2021-01-15
005056B829D81EEB80809190C45C268D,AU,Y,2021-01-15
B6FD162E60C91EE68CC441038FB80276,AU,N,2021-01-15
005056B85CC51EEA9BBBC122CC50F8F3,AU,N,2021-01-15
B6FD162E60C91EE68E8AA2D1D7A3A276,AU,Y,2021-01-15
B6FD162E60C91EE6A2BB38CAEF90E276,AU,N,2021-01-15
005056B829D81EEB8CFBEA05335E978C,AU,Y,2021-01-15
B6FD162E60C91EE68CD205B07F83C276,AU,Y,2021-01-15
B6FD162E60C91EE68E8493DE8176C276,AU,Y,2021-01-15
005056B8A9EA1EEA82DA40F7154FD86E,AU,Y,2021-01-15
B6FD162E60C91EE68CD5494D7433A276,AU,N,2021-01-15
B6FD162E60C91EE68DD5E3D57BAD8276,AU,N,2021-01-15
005056B864471EEA83F5CBD90484F6EE,AU,,2021-01-15
B6FD162E60C91EE68E992543222EA276,AU,Y,2021-01-15
B6FD162E60C91EE6A2B86E8CEF6AE276,AU,N,2021-01-15
