id,country,region,city,language,gender,birth_year,birth_month,last_ia_timestamp,optin_channel
005056BFC8E81EECB7868B2A2D447BF8,LA,13,,E,,,,,
005056BFC8E81EECB7868B277E9FBBF8,LA,,,E,,,,,
005056BFC8E81EECA2E8FC05B2A65A2A,LA,,,2,,,,,Y
005056B864471EEB8CB02D890573CFB3,LA,,,E,,,,,
005056BF63C01EDCB68969360A0E5E05,LA,,,,,,,,Y
005056BFAFAF1EDC808690587C92EC12,LA,,,,,,,,Y
005056BF63C01EDCB689733B7BBC3F03,LA,,,,,,,,Y
005056BFC8E81EECB7869249F43A3BFC,LA,13,,E,,,,,
005056BFC8E81EECB78692408CA99BFA,LA,13,,E,,,,,
005056BFF94F1EDCB68B7782D5487338,LA,,,,,,,,Y
005056BFF94F1EECB982697C7481C27C,LA,,,,,,,,Y
005056BF63C01EDCB6897DB9D2803F0B,LA,,,,,,,,Y
005056BFC8E81EECB8841F0702BB6418,LA,,,E,,,,,
005056BFC8E81EECB8841F0384CC6418,LA,,,E,,,,,
005056BFC8E81EECB8841EFDE522A418,LA,,,E,,,,,
005056BFC8E81EDD80F0BE75B05B08E5,LA,,,,,,,,Y
005056BFAFAF1EDCBEA8AD9EF49D377F,LA,,,E,,,,,Y
005056BFC8E81EECB786A9C15D22DD03,LA,,,E,,,,,
005056BFC8E81EECB786A9BD55241D03,LA,,,E,,,,,
005056BFF94F1EECB982736274652391,LA,,,,,,,,Y
005056BFAFAF1EDCBEA8AD9D80D0977F,LA,,,E,,,,,
005056BFC8E81EECB88426768CD484FC,LA,,,E,,,,,
005056BFC8E81EECB88426768CCEC4FC,LA,,,E,,,,,
005056B8A9EA1EDBAB9CEE9BB44D7810,LA,,,E,,,,,Y
005056BFC8E81EECB8842674C688C4FC,LA,,,E,,,,,
005056BFC8E81EECB88426732C8924FC,LA,,,E,,,,,
005056BFC8E81EECB88426732C42E4FC,LA,,,E,,,,,
005056BFF94F1EECB982735F3DA7E391,LA,,,,,,,,Y
005056BFAFAF1EDCBEA8AD9BF255577F,LA,,,E,,,,,
005056BFF94F1EECA5FAC2077D8282ED,LA,,,E,,,,,Y
005056BFAFAF1EDCBEA8AD9BF204177F,LA,,,E,,,,,
005056BFAFAF1EDCBEA8AD99F8D0777F,LA,17,,E,,,,,Y
005056BFAFAF1EDCBEA8AD99F8C8377F,LA,13,,E,,,,,
005056BF63C01EDCBA82602062FB7256,LA,,,,,,,,Y
005056BF63C01EDCB5BD1EC7137AC32B,LA,13,,E,,,,,
005056BFF94F1EECB98278BF3E99C394,LA,,,2,,,,,Y
005056BFC8E81EECB786B7EED527BE0D,LA,,,E,,,,,
005056BFC8E81EECB8842DC4C5C14501,LA,,,E,,,,,
005056BFC8E81EECB8842DC3210C8500,LA,,,E,,,,,
005056BFC8E81EECB8842DC4C6044501,LA,,,E,,,,,
005056B829D81EDA9D83CF67606952B0,LA,,,E,,,,,Y
005056BFC8E81EECB8842DC320DC6500,LA,,,E,,,,,
005056BFC8E81EECB8842DC320CD4500,LA,,,E,,,,,
005056BFC8E81EDCB6A1A37609A0B8A4,LA,13,,E,,,,,
005056BFC8E81EDCB6A1A374917F38A4,LA,13,นครหลวง,E,,,,,
005056BFC8E81EDCB6A1A37491B138A4,LA,,,E,,,,,
005056BFC8E81EDCB6A1A3715B3398A4,LA,13,,E,,,,,
005056BFC8E81EDCB6A1A372FF4698A4,LA,12,,E,,,,,
005056BFC8E81EDCB6A1A36FBCB518A4,LA,,,E,,,,,
005056BFC8E81EDCB6A1A36FBCB0B8A4,LA,,,E,,,,,
005056BFAFAF1EDC95A10F673697375C,LA,15,,E,,,,,
005056BFC8E81EDCB6A1AA08163758A7,LA,13,นครหลวง,E,,,,,
005056BFC8E81EDCB6A1AA0815F258A7,LA,13,,E,,,,,
005056BFC8E81EDCB5D637F3187B988D,LA,12,,E,,,,,
005056BF63C01EDCB58AC2888E574D3B,LA,13,,E,,,,,
005056B829D81EDBB6CE98E53A9D1B8B,LA,12,,E,,,,,
005056BFC8E81EDCB6A1B060A82FF9B6,LA,13,,E,,,,,
005056BFC8E81EECB88435B4F8120505,LA,,,E,,,,,
005056BFC8E81EECB88435B4F7F6C505,LA,,,E,,,,,
005056BFC8E81EECB88435B4F7EFC505,LA,,,E,,,,,
005056BFAFAF1EDCA0BAE41300B418E1,LA,13,,E,,,,,
005056BFF94F1EECB9827DDE7E81C39B,LA,,,,,,,,Y
005056BFC8E81EDCB6A1B6DEA213B9BC,LA,13,,E,,,,,
005056BFC8E81EDCB6A1B6DAAEB079BC,LA,,,E,,,,,
005056BFC8E81EECB786CB6F2B611F32,LA,,,,,,,,Y
005056BFC8E81EDCB6A1BE65A81899BE,LA,,,E,,,,,
005056BFC8E81EDCB6A1BE64161659BE,LA,,,E,,,,,
005056BFC8E81EDCB6A1BE60D54299BE,LA,,,E,,,,,
005056BFC8E81EDCB6A1BE60D52339BE,LA,,,E,,,,,
005056B85CC51EEB82DFE7E7019C98CE,LA,13,,E,,,,,
005056BFC8E81EDCB6A1C4F58C25BAD3,LA,,,E,,,,,
005056BFC8E81EDCB6A1C4EF23D5FAD3,LA,,,E,,,,,
005056BFC8E81EECB786D04D3C999F34,LA,,,,,,,,Y
005056BFC8E81EECB4F1D9E921663990,LA,13,,E,,,,,
005056BFC8E81EECB786D04B22C1BF34,LA,,,,,,,,Y
005056BFC8E81EDCB6A1CB54D240DAE6,LA,,,E,,,,,
005056BFC8E81EDCB6A1CB4F8CE69AE6,LA,,,E,,,,,
005056BFC8E81EDCB6A1D1E764587AEA,LA,,,E,,,,,
005056BFC8E81EDCB6A1D1C7E3761AEA,LA,,,E,,,,,
005056BFC8E81EDCB6A1D8E4F443BAEE,LA,,,E,,,,,
005056B864471EEA92A574FB5E8ED0CF,LA,,,E,,,,,Y
005056BFC8E81EDCB786DE9DAF29604E,LA,,,,,,,,N
005056BFC8E81EDCB6A1E61B57993C08,LA,,,,,,,,Y
005056BFF94F1EECBC9481BD95B534B7,LA,,,,,,,,N
005056BFF94F1EECB98283129883A3BE,LA,,,,,,,,Y
005056BFC8E81EDCB786E882F2FEC055,LA,,,A,,,,,Y
005056BF63C01EDC8B85F11156F6018F,LA,,,,,,,,Y
005056B864471EDB8CC922B30EC0AE05,LA,,,E,,,,,
005056BFC8E81EDCB786F7A69C736153,LA,,,,,,,,Y
005056B864471EDA94CA90BF8E87EBC2,LA,,,E,,,,,
005056B85CC51EDAA5C484AAC1DD3330,LA,,,E,,,,,
005056BFC8E81EDCB7870535AEE16160,LA,,,,,,,,Y
005056BFF94F1EDCB7893BB1E812E36E,LA,,,,,,,,Y
005056BF63C01EDD82EDEFE45EFF0A65,LA,,,,,,,,Y
005056BFAFAF1EECBDAAA51A9AB9A0FB,LA,,,E,,,,,
005056BF63C01EDCBA8269456F6692DE,LA,,,,,,,,N
005056BFAFAF1EDCBEA8B45E329478A4,LA,,,E,,,,,
005056BFF94F1EDC98FF6DF569E0267E,LA,,,E,,,,,Y
005056BFC8E81EECAD9D9E0C4594A796,LA,,,E,,,,,Y
005056BFAFAF1EDCBEA8B45A4A93B8A4,LA,,,E,,,,,
005056BFC8E81EDCB79F6CD30CFDF4DC,LA,,,E,,,,,
005056BFC8E81EDCB79F86A703C9B5C0,LA,,,E,,,,,
005056BFC8E81EDCB79F8EC36C31F5C7,LA,,,E,,,,,
005056BFC8E81EDCB79F9529F5AD3692,LA,04,,E,,,,,
005056BFC8E81EDCB79F9529F59C7692,LA,04,,E,,,,,
005056BFC8E81EDCB79F952682D07692,LA,,,E,,,,,
005056BFC8E81EDCB79F9C16F06EF698,LA,,,E,,,,,
005056BFC8E81EDCB79F9C11FBE19698,LA,,,E,,,,,
005056BFC8E81EECB8845BA5975C86DB,LA,,,A,,,,,Y
005056BFC8E81EDCB79FA2CEA314D69E,LA,13,,E,,,,,
005056BFC8E81EDCB79FA2C7D303D69E,LA,,,E,,,,,
005056BFC8E81EDCB79FA2C97C64169E,LA,13,,E,,,,,
005056BFC8E81EECB7865A4CA23839AD,LA,13,,E,,,,,
005056B85CC51EDB92EDBEAE28659200,LA,13,,E,,,,,
0017A47705E81ED78BC012B0235EA0BF,LA,13,,E,,,,2017-05-04T03:39:33Z,
005056BFC8E81EDCB79FA9EC7262377A,LA,12,,E,,,,,
005056BFC8E81EDCB79FA9EC725BB77A,LA,13,,E,,,,,
005056BFF94F1EDCB9E686A7D297671D,LA,,,E,,,,,
005056B8A9EA1EDBA3C7BC8A8F981A5D,LA,04,,E,,,,,
005056BFC8E81EDCB79FC3CA76D4786F,LA,04,,E,,,,,
005056BFC8E81EDCB79FC3BD4E4D186F,LA,13,,E,,,,,
005056BFC8E81EDCB79FDD96B344F95B,LA,,,E,,,,,
005056BFC8E81EDCB79FFD2D9990DA50,LA,,,E,,,,,
005056BFC8E81EECB88435D07F2C6505,LA,,,E,,,,,
005056BFC8E81EECB88435CFE62CC505,LA,,,E,,,,,
005056BFC8E81EECB88435CFE6678505,LA,,,E,,,,,
005056BF63C01EDD82EDF66959A12B20,LA,,,,,,,,Y
005056BFC8E81EDCB7A0173CA47D3C1C,LA,,,,,,,,Y
005056BFC8E81EDCB7A0173CA44F1C1C,LA,,,2,,,,,Y
005056BFAFAF1EECB2AB6875D0AB1B39,LA,,,,,,,,N
005056B829D81EEBB9B17B4DDADB3679,LA,,,E,,,,,Y
005056BFAFAF1EDCB7A2566BB46EBADE,LA,,,,,,,,Y
005056BFC8E81EECB88456B587F6A6D9,LA,,,,,,,,N
005056BFAFAF1EDCBEA8BC05542DD8A6,LA,,,E,,,,,
005056BFC8E81EECB984B00889ACCBD7,LA,,,E,,,,,Y
005056BFC8E81EDCBFBFCFE9CC59C974,LA,,,,,,,,Y
005056BFC8E81EECB7D2108576A1322D,LA,,,E,,,,,Y
005056BFC8E81EDCB89D1F8DA4A30ADB,LA,,,E,,,,,
005056BFC8E81EDCB89D1F8DA47B2ADB,LA,,,E,,,,,
005056BFC8E81EDCB89D25A7B06DCADD,LA,,,E,,,,,
005056BFC8E81EDCB89D25A7B0526ADD,LA,13,,E,,,,,
005056BFC8E81EDCB89D25967E142ADD,LA,,,E,,,,,
005056BFC8E81EDCB89D25967E082ADD,LA,13,,E,,,,,
005056BFC8E81EDCB89D2BFDD1A64AE3,LA,,,E,,,,,
005056BFC8E81EDCB89D2BFC486A0AE3,LA,17,,E,,,,,
005056BFC8E81EDCB89D2BFABEE26AE3,LA,13,,E,,,,,
005056BFC8E81EDCB89D2BF930B3AAE3,LA,13,,E,,,,,
005056BFC8E81EDCB89D2BF7A5E96AE3,LA,12,,E,,,,,
005056BFC8E81EDCB89D3318EB10ABF3,LA,,,E,,,,,
005056BFC8E81EDCB89D3317821D6BF3,LA,13,,E,,,,,
005056BFC8E81EDCB89D33161B9EEBF3,LA,,,E,,,,,
005056BFC8E81EDCB89D3314A9338BF3,LA,13,นครหลวงเวียงจันทร์,E,,,,,
005056BFC8E81EDCB89D33132E3C2BF3,LA,13,,E,,,,,
005056BFF94F1EDCBBAFEC039EB69D2B,LA,,,,,,,,Y
005056BFC8E81EECB786607AD32859B0,LA,17,,E,,,,,
005056B829D81EDBB1A7F3F401B33681,LA,,,E,,,,,
005056BFC8E81EDCB89D394A529C6BF6,LA,13,,E,,,,,
005056BFC8E81EDCB89D394A52856BF6,LA,13,,E,,,,,
005056BFC8E81EDCB89D393C1EDEABF6,LA,,,E,,,,,
005056BFC8E81EDCB89D3FC0B411CBF9,LA,,,E,,,,,
005056BFC8E81EDCB89D3FC0B3FFEBF9,LA,04,,E,,,,,
005056BFC8E81EDCB89D3FBF3207ABF9,LA,13,,E,,,,,
005056BFC8E81EDCB89D3FBDB8832BF9,LA,13,,E,,,,,
005056BFC8E81EDCB89D3FBDB8754BF9,LA,,,E,,,,,
005056BFC8E81EDCB89D3FBDB83E0BF9,LA,13,,E,,,,,
005056BFC8E81EDCB89D465984E0CCAE,LA,13,,E,,,,,
005056BFC8E81EDCB89D4653445D8CAE,LA,13,,E,,,,,
005056BFC8E81EDCB89D4641B433CCA7,LA,,,E,,,,,
005056BFC8E81EDCB89D4D6A592F8D01,LA,12,แขวงสะหวันนะเขด,E,,,,,
