"tier","agency","principal__l1","shop_id","is_cbp","offsite__managed","paid_ads__managed","metrics","grass_month","month","actual_2021","target_2022"
"Tier 1","GroupM","P&G","90366612","CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","9369.15982554372","6291.174451047202"
"Tier 1","GroupM","Mars Petcare","55064572","Non CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","2554.0715763287412","1715.0000796589839"
"Tier 2","PMAX","Hafele","362649986","Non CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","783.0931318443756",
"Tier 1","Publicis","L'Oreal CPD","37251933","CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","5064.495389759196","1468.0045787678737"
"Tier 1","OMD","Electrolux","331346099","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12","1026.8659469194833","53.57996247704745"
"Tier 1","OMD","Beiersdorf","61922582","Non CBP","1","1","paid ads","2021-03-01 00:00:00.0","3","2283.7495543755313","119.16182029163085"
"Tier 1","GroupM","Vinasoy","192983257","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","175.7786959956278","118.03133491982143"
"Tier 1","GroupM","Shiseido CPC","106909158","CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","1243.2634980156624","834.8227269334473"
"Tier 1","Dentsu","RB Health","332890699","Non CBP","1","0","paid ads","2021-11-01 00:00:00.0","11","0.0","0.0"
"Tier 2","Intrepid","Colgate Palmolive","130860061","CBP","0","0","paid ads","2021-12-01 00:00:00.0","12","0.0",
"Tier 2","PMAX","LG Beauty","199300768","CBP","1","0","paid ads","2021-07-01 00:00:00.0","7","0.0",
"Tier 1","Dentsu","Ariston","244543449","Non CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","84.02373229104349","294.70102568001374"
"Tier 1","Dentsu","RB Health","332890699","Non CBP","1","0","paid ads","2021-07-01 00:00:00.0","7","0.0","0.0"
"Tier 2","OnPoint","Vpmilk","320322244","Non CBP","0","1","paid ads","2021-03-01 00:00:00.0","3","221.58639698198846",
"Tier 1","Dentsu","Ariston","244543449","Non CBP","1","1","paid ads","2021-01-01 00:00:00.0","1","221.08098611774182","775.409418157831"
"Tier 1","Dentsu","GroupSEB","254657873","CBP","1","0","paid ads","2021-04-01 00:00:00.0","4","0.0","0.0"
"Tier 1","OMD","LG Electronics","95303264","CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","733.1572127817044","38.254784929293756"
"Tier 2","OnPoint","Hd insurance","469680403","Non CBP","0","0","paid ads","2021-12-01 00:00:00.0","12","0.0",
"Tier 1","Dentsu","Mentholatum","95753434","CBP","1","0","paid ads","2021-07-01 00:00:00.0","7","0.0","0.0"
"Tier 2","OnPoint","Goodlife","557739774","Non CBP","0","0","paid ads","2021-11-01 00:00:00.0","11","0.0",
