Description,Id,ExternalId,PrecinctId
34-240 Farmers Loop,239,34-240,239
34-260 Salcha,240,34-260,240
34-263 Steele Creek,241,34-263,241
34-265 Steese ,242,34-265,242
34-270 Summit,243,34-270,243
34-280 Two Rivers,244,34-280,244
35-580 Airport,245,35-580,245
35-582 Chena,246,35-582,246
35-584 Ester,247,35-584,247
35-586 Geist,248,35-586,248
35-587 Lakeview,249,35-587,249
35-592 Shanly,250,35-592,250
35-595 University Hills,251,35-595,251
35-596 University West,252,35-596,252
36-001 Goldstream No. 1,253,36-001,253
36-002 Goldstream No. 2,254,36-002,254
36-010 Allakaket,255,36-010,255
36-014 Anvik,256,36-014,256
36-018 Arctic Village,257,36-018,257
36-022 Beaver,258,36-022,258
36-026 Bettles,259,36-026,259
36-034 Central,260,36-034,260
36-038 Chistochina,261,36-038,261
36-042 Circle,262,36-042,262
36-046 Copper Center,263,36-046,263
36-050 Delta Junction,264,36-050,264
36-054 Deltana,265,36-054,265
36-058 Dot Lake,266,36-058,266
36-062 Eagle,267,36-062,267
36-066 Fort Yukon,268,36-066,268
36-070 Gakona,269,36-070,269
36-074 Galena,270,36-074,270
36-078 Glennallen,271,36-078,271
36-082 Grayling,272,36-082,272
36-086 Holy Cross,273,36-086,273
36-090 Hughes,274,36-090,274
36-094 Huslia,275,36-094,275
36-098 Kaltag,276,36-098,276
36-102 Kenny Lake,277,36-102,277
36-106 Koyukuk,278,36-106,278
36-110 Manley,279,36-110,279
36-114 McGrath,280,36-114,280
36-118 Mentasta,281,36-118,281
36-122 Minto,282,36-122,282
36-126 Nenana,283,36-126,283
36-130 Nikolai,284,36-130,284
36-134 Northway,285,36-134,285
36-138 Nulato,286,36-138,286
36-142 Ruby,287,36-142,287
36-146 Shageluk,288,36-146,288
36-162 Tanana,289,36-162,289
36-166 Tetlin,290,36-166,290
36-170 Tok,291,36-170,291
36-174 Venetie,292,36-174,292
37-700 Akutan,293,37-700,293
37-702 Aleknagik,294,37-702,294
37-704 Aleutians No. 1,295,37-704,295
37-706 Aleutians No. 2,296,37-706,296
37-707 Aniak,297,37-707,297
37-708 Chignik,298,37-708,298
37-709 Chuathbaluk,299,37-709,299
37-710 Clark's Point,300,37-710,300
37-712 Cold Bay,301,37-712,301
37-713 Crooked Creek,302,37-713,302
37-714 Dillingham,303,37-714,303
37-716 Egegik,304,37-716,304
37-718 Ekwok,305,37-718,305
37-719 Goodnews Bay,306,37-719,306
37-720 King Cove,307,37-720,307
37-722 King Salmon,308,37-722,308
37-724 Koliganek,309,37-724,309
37-726 Lake Iliamna No. 1,310,37-726,310
37-728 Lake Iliamna No. 2,311,37-728,311
37-730 Levelock,312,37-730,312
37-731 Lower Kalskag,313,37-731,313
37-732 Manokotak,314,37-732,314
37-734 Naknek,315,37-734,315
37-736 New Stuyahok,316,37-736,316
37-738 Nondalton,317,37-738,317
37-740 Pedro Bay,318,37-740,318
37-742 Port Heiden,319,37-742,319
37-744 Sand Point,320,37-744,320
37-746 Sleetmute,321,37-746,321
37-748 South Naknek,322,37-748,322
37-750 St. George Island,323,37-750,323
37-752 St. Paul Island,324,37-752,324
37-754 Togiak,325,37-754,325
37-756 Tyonek,326,37-756,326
37-758 Upper Kalskag,327,37-758,327
38-800 Akiachak,328,38-800,328
38-802 Akiak,329,38-802,329
38-806 Atmautluak,330,38-806,330
38-808 Bethel No. 1,331,38-808,331
38-810 Bethel No. 2,332,38-810,332
38-812 Chefornak,333,38-812,333
38-813 Chevak,334,38-813,334
38-818 Eek,335,38-818,335
38-822 Kasigluk,336,38-822,336
38-824 Kipnuk,337,38-824,337
38-826 Kongiganak,338,38-826,338
38-828 Kwethluk,339,38-828,339
38-830 Kwigillingok,340,38-830,340
38-836 Mekoryuk,342,38-836,342
38-838 Napakiak,343,38-838,343
38-840 Napaskiak,344,38-840,344
38-842 Newtok,345,38-842,345
38-844 Nightmute,346,38-844,346
38-846 Nunapitchuk,347,38-846,347
38-848 Quinhagak,348,38-848,348
38-852 Toksook Bay,350,38-852,350
38-854 Tuluksak,351,38-854,351
38-856 Tuntutuliak,352,38-856,352
38-858 Tununak,353,38-858,353
39-900 Alakanuk,354,39-900,354
39-902 Brevig Mission,355,39-902,355
39-906 Diomede,356,39-906,356
39-908 Elim,357,39-908,357
39-910 Emmonak,358,39-910,358
39-912 Gambell,359,39-912,359
39-914 Golovin,360,39-914,360
39-916 Hooper Bay,361,39-916,361
39-918 Kotlik,362,39-918,362
39-920 Koyuk,363,39-920,363
39-921 Marshall,341,39-921,341
39-922 Mountain Village,364,39-922,364
39-924 Nome No. 1,365,39-924,365
39-926 Nome No. 2,366,39-926,366
39-928 Nunam Iqua,367,39-928,367
39-930 Pilot Station,368,39-930,368
39-931 Russian Mission,349,39-931,349
39-932 Savoonga,369,39-932,369
39-934 Scammon Bay,370,39-934,370
39-936 Shaktoolik,371,39-936,371
39-938 Shishmaref,372,39-938,372
39-940 St. Mary's,373,39-940,373
39-942 St. Michael,374,39-942,374
39-944 Stebbins,375,39-944,375
39-946 Teller,376,39-946,376
39-948 Unalakleet,377,39-948,377
39-950 Wales,378,39-950,378
39-952 White Mountain,379,39-952,379
40-002 Ambler,380,40-002,380
40-004 Anaktuvuk Pass,381,40-004,381
40-006 Atqasuk,382,40-006,382
40-008 Utqiagvik,383,40-008,383
40-010 Browerville,384,40-010,384
40-012 Buckland,385,40-012,385
40-014 Deering,386,40-014,386
40-016 Kaktovik,387,40-016,387
40-018 Kiana,388,40-018,388
40-020 Kivalina,389,40-020,389
40-022 Kobuk,390,40-022,390
40-024 Kotzebue,391,40-024,391
40-026 Noatak,392,40-026,392
40-028 Noorvik,393,40-028,393
40-030 Nuiqsut,394,40-030,394
40-032 Point Hope,395,40-032,395
40-034 Point Lay,396,40-034,396
40-036 Selawik,397,40-036,397
40-038 Shungnak,398,40-038,398
40-040 Wainwright,399,40-040,399
HD99 Fed Overseas Absentee,400,99,400
District 1 - Absentee,401,1,401
District 2 - Absentee,402,2,402
District 3 - Absentee,403,3,403
District 4 - Absentee,404,4,404
District 5 - Absentee,405,5,405
District 6 - Absentee,406,6,406
District 7 - Absentee,407,7,407
District 8 - Absentee,408,8,408
District 9 - Absentee,409,9,409
District 10 - Absentee,410,10,410
District 11 - Absentee,411,11,411
District 12 - Absentee,412,12,412
District 13 - Absentee,413,13,413
District 14 - Absentee,414,14,414
District 15 - Absentee,415,15,415
District 16 - Absentee,416,16,416
District 17 - Absentee,417,17,417
District 18 - Absentee,418,18,418
District 19 - Absentee,419,19,419
District 20 - Absentee,420,20,420
District 21 - Absentee,421,21,421
District 22 - Absentee,422,22,422
District 23 - Absentee,423,23,423
District 24 - Absentee,424,24,424
District 25 - Absentee,425,25,425
District 26 - Absentee,426,26,426
District 27 - Absentee,427,27,427
District 28 - Absentee,428,28,428
